neighbourhood,room_type_x,P_price,number_of_reviews_x,reviews_per_month_x,availability_365_x,room_type_y,E_price,number_of_reviews_y,reviews_per_month_y,availability_365_y,neighirhood_cluster,number_of_crimes,room_type,S_price,number_of_reviews,reviews_per_month,availability_365,number_of_crimes,crime rate
"North Cleveland Park, Forest Hills, Van Ness",Private room,157.125,9,0.529583333,102.75,Entire home/apt,273.5319149,6.617021277,0.717659574,102.2978723,Cluster 12,180,Shared room,42.66666667,17,0.896666667,201.6666667,180,0.550391389
"North Michigan Park, Michigan Park, University Heights",Private room,105.7234043,17.55319149,1.340425532,170.787234,Entire home/apt,160.2926829,17.73170732,2.159756098,143.4390244,Cluster 20,355,Shared room,35.66666667,10.33333333,1.296666667,244.6666667,355,1.085494129
"River Terrace, Benning, Greenway, Dupont Park",Private room,70.92857143,26.07142857,1.541428571,241.5714286,Entire home/apt,274.3333333,12.33333333,0.820833333,227.8333333,Cluster 32,828,Shared room,49,4,0.46,365,828,2.531800391
"Shaw, Logan Circle",Private room,121.3257576,25.91666667,1.870833333,131.9393939,Entire home/apt,329.4376658,24.22811671,1.67397878,132.1803714,Cluster 7,1169,Shared room,43.76190476,19.28571429,1.346190476,223.047619,1169,3.574486301
"Sheridan, Barry Farm, Buena Vista",Private room,83.86666667,9.133333333,1.294,190.0666667,Entire home/apt,422.2222222,13.22222222,0.752222222,235.6666667,Cluster 37,406,Shared room,95,0,0,365,406,1.241438356
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Private room,131.3137255,25.2745098,1.879803922,170.6666667,Entire home/apt,400.7719298,11.10526316,1.001491228,126.0175439,Cluster 9,688,Shared room,80,7,1.106666667,254,688,2.1037182
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Private room,110.2857143,10.39285714,0.488571429,123.1071429,Entire home/apt,538.9538462,10.32307692,0.679692308,138.8153846,Cluster 13,197,,,,,,197,0.602372798
"Takoma, Brightwood, Manor Park",Private room,76.4,15.075,0.91775,199.25,Entire home/apt,180.6166667,16.7,1.234333333,158.0166667,Cluster 17,891,Shared room,28,1,1,357,891,2.724437378
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,165,13.6,1.2635,199,Entire home/apt,249.7647059,20.35294118,1.604705882,231.6764706,Cluster 34,814,Shared room,32.85714286,20.5,1.297857143,346.9285714,814,2.488992172
"Union Station, Stanton Park, Kingman Park",Private room,128.0052632,23.75263158,1.983842105,117.0631579,Entire home/apt,384.4369449,21.5079929,1.66277087,126.2753108,Cluster 25,1918,Shared room,677.6666667,5.777777778,0.784444444,81,1918,5.864726027
