neighbourhood,room_type_x,P_price,number_of_reviews_x,reviews_per_month_x,availability_365_x,room_type_y,E_price,number_of_reviews_y,reviews_per_month_y,availability_365_y,CommunityArea,number_of_crimes,crime_rate,room_type,S_price,number_of_reviews,reviews_per_month,availability_365
Lincoln Square,Private room,64.33333333333333,19.303030303030305,1.3706060606060608,186.12121212121212,"Entire home,apt",142.43333333333334,26.35,1.5689999999999997,134.55,4.0,7187.0,0.7268082730946438,,,,,
Logan Square,Private room,66.69461077844312,28.694610778443113,1.8420958083832335,164.78443113772454,"Entire home,apt",164.8,33.416326530612245,2.179510204081632,166.71020408163264,22.0,20562.0,2.0793977614264736,Shared room,27.333333333333332,9.0,3.3000000000000003,23.333333333333332
Loop,Private room,92.95652173913044,33.21739130434783,1.7413043478260868,85.0,"Entire home,apt",177.02575107296138,15.88412017167382,1.7875536480686693,210.86695278969958,32.0,31882.0,3.2241688274389086,Shared room,93.33333333333333,5.0,0.9966666666666667,75.33333333333333
Lower West Side,Private room,51.45945945945946,32.82432432432432,1.995135135135135,172.98648648648648,"Entire home,apt",110.47777777777777,36.0,2.286222222222222,153.01111111111112,31.0,9895.0,1.0006634009004454,Shared room,25.571428571428573,50.07142857142857,3.708571428571429,338.35714285714283
Mckinley Park,Private room,35.5,8.5,0.9299999999999999,84.5,"Entire home,apt",98.0,27.25,1.3712499999999999,202.0,,,,,,,,
Morgan Park,Private room,49.333333333333336,29.666666666666668,2.356666666666667,257.0,"Entire home,apt",77.5,62.0,2.045,324.5,75.0,7923.0,0.8012386180226607,,,,,
Near North Side,Private room,147.75,28.153846153846153,2.079423076923077,175.48076923076923,"Entire home,apt",221.85714285714286,20.288220551378448,1.743634085213033,190.71929824561403,8.0,39079.0,3.951988382393987,Shared room,72.07692307692308,3.230769230769231,0.39538461538461545,284.53846153846155
Near South Side,Private room,130.64,39.76,2.4160000000000004,104.24,"Entire home,apt",299.9714285714286,15.914285714285715,1.516,159.78571428571428,33.0,7372.0,0.7455169875126916,Shared room,78.0,88.0,2.52,63.0
Near West Side,Private room,64.1,39.41,2.8036000000000008,164.84,"Entire home,apt",171.45762711864407,21.771186440677965,1.903220338983051,145.75423728813558,28.0,33017.0,3.3389493185982824,Shared room,73.88888888888889,5.444444444444445,1.5,165.44444444444446
New City,Private room,70.0,1.0,1.0,164.0,"Entire home,apt",83.0,17.666666666666668,1.5833333333333333,201.66666666666666,61.0,19229.0,1.9445938894304866,,,,,
North Center,Private room,79.76666666666667,28.133333333333333,1.4823333333333335,187.86666666666667,"Entire home,apt",232.675,18.5375,1.4140000000000004,179.3625,5.0,5548.0,0.5610591761693452,Shared room,20.5,2.5,0.395,54.5
North Lawndale,Private room,39.75,16.583333333333332,1.8733333333333333,109.66666666666667,"Entire home,apt",82.85714285714286,17.714285714285715,1.122857142857143,130.28571428571428,29.0,31921.0,3.2281128266946046,,,,,
North Park,Private room,50.142857142857146,9.142857142857142,0.8328571428571427,149.71428571428572,"Entire home,apt",75.0,7.5,0.325,1.5,13.0,3530.0,0.3569824967335596,,,,,
Norwood Park,Private room,60.714285714285715,26.571428571428573,2.5957142857142856,168.28571428571428,"Entire home,apt",87.4,58.0,2.7380000000000004,192.6,10.0,4541.0,0.4592230928235394,,,,,
Oakland,Private room,75.0,47.1764705882353,1.8694117647058823,291.70588235294116,"Entire home,apt",171.0,42.0,1.9033333333333333,253.16666666666666,36.0,2442.0,0.24695503031823018,,,,,
Ohare,Private room,87.5,11.0,2.035,229.5,"Entire home,apt",95.0,92.0,2.59,336.0,,,,,,,,
Portage Park,Private room,63.53846153846154,17.807692307692307,0.8711538461538461,286.65384615384613,"Entire home,apt",157.92307692307693,39.84615384615385,2.6092307692307695,225.07692307692307,15.0,12951.0,1.3097111374493855,,,,,
Pullman,Private room,50.0,4.0,0.16,47.0,"Entire home,apt",88.33333333333333,82.0,1.4166666666666667,231.0,50.0,4284.0,0.4332331490103596,,,,,
Rogers Park,Private room,55.0,31.258064516129032,1.6240322580645163,182.33870967741936,"Entire home,apt",148.0144927536232,20.753623188405797,1.3927536231884061,179.7391304347826,1.0,14867.0,1.503472741908734,Shared room,39.0,7.666666666666667,0.5299999999999999,269.8333333333333
Roseland,Private room,50.0,0.0,0.0,160.0,"Entire home,apt",110.0,4.0,3.53,330.0,49.0,9785.0,0.9895393004356603,,,,,
South Chicago,Private room,44.4,2.0,1.02,263.4,"Entire home,apt",51.0,5.0,1.06,339.0,46.0,16838.0,1.7027963966004749,Shared room,20.0,2.0,0.26857142857142857,350.57142857142856
South Lawndale,Private room,53.333333333333336,34.80952380952381,2.3704761904761904,236.47619047619048,"Entire home,apt",88.23809523809524,35.142857142857146,2.521904761904762,202.47619047619048,30.0,17255.0,1.744966850180615,Shared room,33.666666666666664,32.5,2.6083333333333334,266.0
South Shore,Private room,50.63636363636363,5.818181818181818,0.7745454545454545,251.54545454545453,"Entire home,apt",75.9090909090909,24.727272727272727,1.4800000000000002,234.8181818181818,43.0,32221.0,3.258451282507655,Shared room,25.0,1.3333333333333333,0.42,159.0
Uptown,Private room,80.98936170212765,24.319148936170212,1.6535106382978724,195.56382978723406,"Entire home,apt",145.6161616161616,18.444444444444443,1.6291919191919193,132.03030303030303,3.0,13954.0,1.411142708051017,Shared room,41.266666666666666,11.533333333333333,1.5706666666666667,175.8
Washington Heights,Private room,45.0,1.0,0.59,365.0,,,,,,,,,,,,,
Washington Park,Private room,57.333333333333336,34.666666666666664,2.643333333333333,233.83333333333334,"Entire home,apt",137.5,47.0,4.55,156.5,40.0,10784.0,1.090566358293118,Shared room,35.0,12.0,0.53,365.0
West Elsdon,Private room,41.25,29.25,3.275,253.5,"Entire home,apt",178.33333333333334,4.666666666666667,0.23333333333333336,358.3333333333333,62.0,3924.0,0.3968270020346991,,,,,
West Lawn,Private room,49.142857142857146,63.285714285714285,2.5142857142857147,268.7142857142857,"Entire home,apt",28.0,17.5,3.8000000000000003,156.0,65.0,7637.0,0.7723159568142194,,,,,
West Pullman,Private room,35.0,3.0,0.38,171.0,,,,,,,,,,,,,
West Ridge,Private room,49.40625,20.65625,1.7090625,215.3125,"Entire home,apt",134.6086956521739,12.173913043478262,1.1726086956521737,187.34782608695653,2.0,12483.0,1.2623831463810267,Shared room,62.333333333333336,48.93333333333333,1.448,110.06666666666666
West Town,Private room,73.35906040268456,29.563758389261746,1.904630872483222,169.59395973154363,"Entire home,apt",185.23990498812353,30.983372921615203,1.9913539192399023,168.5605700712589,24.0,30517.0,3.0861288534895293,Shared room,42.8,28.6,1.968,178.9
Woodlawn,Private room,50.861111111111114,20.5,1.655833333333334,251.88888888888889,"Entire home,apt",124.52941176470588,14.352941176470589,1.2988235294117647,228.52941176470588,42.0,14868.0,1.5035738700947774,,,,,
