,neighbourhood,price,number_of_reviews,reviews_per_month,availability_365,airbnb_counts_per_neighbourhood,total_reviews_per_neighbourhood,CommunityArea,number_of_crimes,crime_rate
48,North Lawndale,55.63157894736842,17.0,1.5968421052631578,117.26315789473684,19,323,29.0,31921.0,3.2281128266946046
49,North Park,55.666666666666664,8.777777777777779,0.72,116.77777777777777,9,79,13.0,3530.0,0.3569824967335596
50,Norwood Park,71.83333333333333,39.666666666666664,2.655,178.41666666666666,12,476,10.0,4541.0,0.4592230928235394
51,Oakland,100.04347826086956,45.82608695652174,1.8782608695652172,281.6521739130435,23,1054,36.0,2442.0,0.24695503031823018
52,Ohare,90.0,38.0,2.22,265.0,3,114,0.0,0.0,0.0
53,Portage Park,95.0,25.153846153846153,1.4505128205128208,266.12820512820514,39,981,15.0,12951.0,1.3097111374493855
54,Pullman,78.75,62.5,1.1025,185.0,4,250,50.0,4284.0,0.4332331490103596
55,Rogers Park,101.14598540145985,24.934306569343065,1.4596350364963506,184.86131386861314,137,3416,1.0,14867.0,1.503472741908734
56,Roseland,80.0,2.0,1.765,245.0,2,4,49.0,9785.0,0.9895393004356603
57,South Chicago,31.76923076923077,2.230769230769231,0.6184615384615385,316.15384615384613,13,29,46.0,16838.0,1.7027963966004749
58,South Deering,100.0,26.0,1.16,77.0,1,26,51.0,6732.0,0.6807949484448507
59,South Lawndale,66.14583333333333,34.666666666666664,2.466458333333333,225.29166666666666,48,1664,30.0,17255.0,1.744966850180615
60,South Shore,58.68,13.6,1.0424,233.08,25,340,43.0,32221.0,3.258451282507655
61,Uptown,108.88461538461539,20.60096153846154,1.6359615384615378,163.89903846153845,208,4285,3.0,13954.0,1.411142708051017
62,Washington Heights,45.0,1.0,0.59,365.0,1,1,73.0,11993.0,1.2128303352197112
63,Washington Park,72.66666666666667,34.888888888888886,2.832222222222222,231.22222222222223,9,314,40.0,10784.0,1.090566358293118
64,West Elsdon,100.0,18.714285714285715,1.9714285714285713,298.42857142857144,7,131,62.0,3924.0,0.3968270020346991
65,West Englewood,267.5,1.5,0.74,359.5,2,3,67.0,27728.0,2.8040823426142043
66,West Garfield Park,87.0,55.0,2.63,317.5,2,110,26.0,20106.0,2.033283308590637
67,West Lawn,44.44444444444444,53.111111111111114,2.8,243.66666666666666,9,478,65.0,7637.0,0.7723159568142194
68,West Pullman,35.0,3.0,0.38,171.0,1,3,53.0,15371.0,1.5544413476746586
69,West Ridge,80.17142857142858,23.928571428571427,1.4768571428571426,183.57142857142858,70,1675,2.0,12483.0,1.2623831463810267
70,West Town,137.5514403292181,30.37037037037037,1.955582990397804,169.12482853223594,729,22140,24.0,30517.0,3.0861288534895293
71,Woodlawn,74.49056603773585,18.528301886792452,1.5413207547169814,244.39622641509433,53,982,42.0,14868.0,1.5035738700947774
