neighbourhood,room_type_x,P_price,number_of_reviews_x,reviews_per_month_x,availability_365_x,room_type_y,E_price,number_of_reviews_y,reviews_per_month_y,availability_365_y,neighirhood_cluster,number_of_crimes,room_type,S_price,number_of_reviews,reviews_per_month,availability_365
"Mayfair, Hillbrook, Mahaning Heights",Private room,59.608695652173914,6.913043478260869,1.0091304347826087,149.30434782608697,Entire home/apt,248.3846153846154,13.615384615384615,1.1376923076923078,189.76923076923077,Cluster 30,548.0,Shared room,45.0,0.0,0.0,364.0
"Near Southeast, Navy Yard",Private room,134.35714285714286,11.357142857142858,1.2042857142857142,102.78571428571429,Entire home/apt,349.3720930232558,5.232558139534884,0.6065116279069767,118.51162790697674,Cluster 27,292.0,,,,,
"North Cleveland Park, Forest Hills, Van Ness",Private room,157.125,9.0,0.5295833333333334,102.75,Entire home/apt,273.531914893617,6.617021276595745,0.7176595744680851,102.29787234042553,Cluster 12,180.0,Shared room,42.666666666666664,17.0,0.8966666666666666,201.66666666666666
"North Michigan Park, Michigan Park, University Heights",Private room,105.72340425531915,17.5531914893617,1.3404255319148937,170.7872340425532,Entire home/apt,160.29268292682926,17.73170731707317,2.159756097560976,143.4390243902439,Cluster 20,355.0,Shared room,35.666666666666664,10.333333333333334,1.2966666666666666,244.66666666666666
"River Terrace, Benning, Greenway, Dupont Park",Private room,70.92857142857143,26.071428571428573,1.5414285714285714,241.57142857142858,Entire home/apt,274.3333333333333,12.333333333333334,0.8208333333333333,227.83333333333334,Cluster 32,828.0,Shared room,49.0,4.0,0.46,365.0
"Shaw, Logan Circle",Private room,121.32575757575758,25.916666666666668,1.8708333333333331,131.93939393939394,Entire home/apt,329.43766578249335,24.22811671087533,1.6739787798408483,132.18037135278516,Cluster 7,1169.0,Shared room,43.76190476190476,19.285714285714285,1.3461904761904764,223.04761904761904
"Sheridan, Barry Farm, Buena Vista",Private room,83.86666666666666,9.133333333333333,1.294,190.06666666666666,Entire home/apt,422.22222222222223,13.222222222222221,0.7522222222222222,235.66666666666666,Cluster 37,406.0,Shared room,95.0,0.0,0.0,365.0
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Private room,131.31372549019608,25.274509803921568,1.8798039215686277,170.66666666666666,Entire home/apt,400.7719298245614,11.105263157894736,1.0014912280701753,126.01754385964912,Cluster 9,688.0,Shared room,80.0,7.0,1.1066666666666667,254.0
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Private room,110.28571428571429,10.392857142857142,0.48857142857142843,123.10714285714286,Entire home/apt,538.9538461538461,10.323076923076924,0.6796923076923078,138.8153846153846,Cluster 13,197.0,,,,,
"Takoma, Brightwood, Manor Park",Private room,76.4,15.075,0.9177499999999998,199.25,Entire home/apt,180.61666666666667,16.7,1.234333333333333,158.01666666666668,Cluster 17,891.0,Shared room,28.0,1.0,1.0,357.0
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,165.0,13.6,1.2635,199.0,Entire home/apt,249.76470588235293,20.352941176470587,1.604705882352941,231.6764705882353,Cluster 34,814.0,Shared room,32.857142857142854,20.5,1.297857142857143,346.92857142857144
"Union Station, Stanton Park, Kingman Park",Private room,128.00526315789475,23.75263157894737,1.9838421052631565,117.06315789473685,Entire home/apt,384.43694493783306,21.507992895204264,1.6627708703374773,126.2753108348135,Cluster 25,1918.0,Shared room,677.6666666666666,5.777777777777778,0.7844444444444445,81.0
"West End, Foggy Bottom, GWU",Private room,148.43478260869566,13.130434782608695,1.0343478260869567,128.65217391304347,Entire home/apt,210.01895734597156,18.507109004739338,1.4429383886255926,169.40284360189574,Cluster 5,547.0,Shared room,78.33333333333333,27.8,1.5586666666666666,138.13333333333333
"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Private room,120.6,18.8,5.608,95.2,Entire home/apt,483.3333333333333,10.666666666666666,1.53,337.6666666666667,Cluster 36,299.0,,,,,
"Woodridge, Fort Lincoln, Gateway",Private room,74.82758620689656,14.241379310344827,1.4827586206896555,202.89655172413794,Entire home/apt,264.3103448275862,17.06896551724138,1.332068965517241,158.27586206896552,Cluster 24,589.0,,,,,
